media_url;Articles;Account required
http://washingtonpost.com;42730;yes
http://www.washingtontimes.com/;37735;yes
http://nytimes.com;37706;yes(free)
http://www.usatoday.com;28284;No
http://www.businessinsider.com;25383;yes
http://www.foxnews.com/;19991;No
https://www.wsj.com/;16836;Yes
http://www.cnn.com/;14966;No
http://news.yahoo.com/;3139;No
http://www.thestreet.com;110;No
http://us.cnn.com;25;No
