,stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
165972,591651879,2015-03-26 10:17:00,Federal Reserve Policies Are Hurting the Middle Class and Contributing to Wealth Inequality,https://www.thestreet.com/story/13092336/1/federal-reserve-policies-are-hurting-the-middle-class-and-contributing-to-wealth-inequality.html,en,False,"finances, labor, wages and salaries, economic conditions and trends, united states economy, prices (fares, fees and rates), housing",21619,The Street,http://www.thestreet.com
166062,592234212,2015-09-28 06:26:00,"Biotech and Pharmaceutical Stocks Look Sick, Creating Problems for Stock Market",https://www.thestreet.com/story/13302411/1/biotech-and-pharmaceutical-stocks-look-sick-signaling-problems-for-stock-market.html,en,False,,21619,The Street,http://www.thestreet.com
166173,592658025,2015-09-17 05:18:00,The Second Republican Debate And the Economy: What Candidates Mean for Your Wallet,https://www.thestreet.com/story/13292098/1/the-second-republican-debate-and-the-economy-what-candidates-mean-for-your-wallet.html,en,False,,21619,The Street,http://www.thestreet.com
166514,596868787,2015-10-15 02:37:00,8 best companies for paid parental leave,https://www.thestreet.com/story/13249442/1/7-best-companies-for-paid-parental-leave.html,en,False,,21619,The Street,http://www.thestreet.com
166582,597437464,2015-05-27 07:57:00,Bank of America CEO Still Grappling With Financial Crisis Fallout,https://www.thestreet.com/story/13164764/1/bank-of-america-ceo-still-grappling-with-financial-crisis-fallout.html,en,False,,21619,The Street,http://www.thestreet.com
166832,599447682,2015-10-28 05:18:00,"With Donald Trump as President, Here's What Will Happen to the U.S. Economy",https://www.thestreet.com/story/13335121/1/if-donald-trump-was-president-heres-what-would-happen-to-the-us-economy.html,en,False,,21619,The Street,http://www.thestreet.com
166901,600068905,2015-10-28 07:26:00,"If Libertarian Rand Paul Was President, Here's What the U.S. Economy Would Look Like",https://www.thestreet.com/story/13336977/1/if-libertarian-rand-paul-was-president-here-s-what-the-u-s-economy-would-look-like.html,en,False,,21619,The Street,http://www.thestreet.com
167198,601834769,2015-10-28 07:53:00,The GOP Warmup Act Is Going to Be Seismic,https://www.thestreet.com/story/13336260/1/the-gop-warmup-act-is-going-to-be-seismic.html,en,False,,21619,The Street,http://www.thestreet.com
167564,605215576,2015-05-23 04:00:00,America's 10 Favorite Fast-Food Burgers,https://www.thestreet.com/story/13161415/1/americas-10-favorite-fast-food-burgers.html,en,False,,21619,The Street,http://www.thestreet.com
168321,610825635,2015-04-24 18:52:58,6 stocks to buy when donald trump is president,https://www.thestreet.com/story/13357827/4/6-stocks-to-buy-if-donald-trump-becomes-president.html?utm_source=AOL&utm_medium=readMore&utm_campaign=partner,en,False,,21619,The Street,http://www.thestreet.com
172907,542988329,2015-10-28 19:08:00,Rubio Deftly Counters Trump by Bashing Media at #GOPDebate,https://www.thestreet.com/story/13343025/1/rubio-deftly-counters-trump-by-bashing-media-at-gopdebate.html,en,False,"politics and government, finances, united states politics and government, elections, presidents and presidency (us), presidential elections (us)",21619,The Street,http://www.thestreet.com
172940,541453775,2015-12-20 05:00:00,Is Ted Cruz right that immigration drives down wages?,https://www.thestreet.com/story/13399577/1/is-ted-cruz-right-that-immigration-drives-down-wages.html,en,False,"politics and government, united states politics and government, elections, labor, news and news media, immigration and refugees, illegal aliens, media, wages and salaries, economic conditions and trends",21619,The Street,http://www.thestreet.com
174037,705284527,2015-06-17 06:37:00,Why Coupons and Rebates Might Help Get U.S. Health Care Costs Under Control,https://www.thestreet.com/story/13188570/1/why-coupons-and-rebates-might-help-get-us-health-care-costs-under-control.html,en,False,,21619,The Street,http://www.thestreet.com
174663,706692636,2015-10-09 08:54:43,LeBron James Leaves Struggling McDonald's to Endorse Upstart Pizza Chain,https://www.thestreet.com/story/13317681/1/lebron-james-dumps-struggling-mcdonald-s-to-endorse-upstart-pizza-chain.html,en,False,,21619,The Street,http://www.thestreet.com
180266,318257516,2015-02-12 23:54:00,"Apple Watch Soars, Twitter Gets Bought: 5 Tech Predictions For 2015",http://www.thestreet.com/story/12979746/1/apple-watch-soars-twitter-gets-bought-5-tech-predictions-for-2015.html,en,False,,21619,The Street,http://www.thestreet.com
181961,749625141,2015-07-23 15:09:00,"Comcast's Radius Fitness Closes, Proof Subscription Isn't as Easy as it Looks",https://www.thestreet.com/story/13229596/1/comcasts-radius-fitness-closes-proof-subscription-isnt-as-easy-as-it-looks.html,en,False,computers and the internet,21619,The Street,http://www.thestreet.com
183185,830384023,2015-06-25 12:30:00,What Divorced Retirees Should Know About Social Security,https://www.thestreet.com/story/13198023/1/what-divorced-retirees-should-know-about-social-security.html,en,False,,21619,The Street,http://www.thestreet.com
183768,831972118,2015-02-13 11:05:00,DreamWorks Animation Spends $1 Million to Win Oscar for 'Your Dragon 2',https://www.thestreet.com/story/13045414/1/dreamworks-animation-spends-1-million-to-win-oscar-for-your-dragon-2.html,en,False,,21619,The Street,http://www.thestreet.com
184551,833181266,2015-10-13 15:04:49,Debt Ceiling Alert: This Time It's Really Scary,https://www.thestreet.com/story/13321975/1/debt-ceiling-alert-this-time-it-s-really-scary.html,en,False,,21619,The Street,http://www.thestreet.com
190560,852417033,2015-05-27 01:38:25,4 Fast-Food Giants That Are Trying to Clean Up Their Ingredient List,https://www.thestreet.com/story/13163002/1/4-fast-food-giants-that-are-trying-to-clean-up-their-ingredient-list.html,en,False,,21619,The Street,http://www.thestreet.com
190566,852717874,2015-04-27 18:08:04,Chipotle Bans Genetically Modified Food From Menu but What Will It Do for Sales?,https://www.thestreet.com/story/13127398/1/chipotle-bans-genetically-modified-food-from-menu-but-what-will-it-do-for-sales.html,en,False,,21619,The Street,http://www.thestreet.com
190674,858841733,2015-04-28 20:20:00,Did Your Tax Refund Get Bounced Because of Identity Theft?,https://www.thestreet.com/story/13129468/1/did-your-tax-refund-get-bounced-because-of-identity-theft.html,en,False,,21619,The Street,http://www.thestreet.com
190679,859235691,2015-04-13 21:00:54,"IBM Adds Apple, Others to Watson Partnership, Unveils Watson Health Cloud",https://www.thestreet.com/story/13109816/1/ibm-adds-apple-others-to-watson-partnership-unveils-watson-health-cloud.html,en,False,,21619,The Street,http://www.thestreet.com
190681,859210689,2015-06-09 14:02:24,The Big News That Everyone Missed at the Apple Developer Conference,https://www.thestreet.com/story/13179348/1/the-big-news-that-everyone-missed-at-the-apple-developer-conference.html,en,False,,21619,The Street,http://www.thestreet.com
190727,501618648,2015-06-16 08:00:00,All the times the media thought Donald Trump's campaign was over,https://www.thestreet.com/story/13428252/1/what-doesn-t-kill-donald-trump-makes-him-stronger-despite-media-speculation.html,en,False,,21619,The Street,http://www.thestreet.com
191258,864862271,2015-05-20 14:07:40,Groundbreaking PTSD Pot Study Moves Forward,https://www.thestreet.com/story/13157984/1/groundbreaking-ptsd-pot-study-moves-forward.html,en,False,,21619,The Street,http://www.thestreet.com
192358,889561330,2015-05-27 12:29:21,Stock Market Today - Cyber Security Stocks in Focus After Taxpayer Accounts Breached,https://www.thestreet.com/story/13164501/1/stock-market-today--cyber-security-stocks-in-focus-after-irs-said-100000-taxpayer-accounts-breached.html,en,False,,21619,The Street,http://www.thestreet.com
192363,889599966,2015-10-13 13:31:13,Which Defense Contractor Will Buy Lockheed Martin's Government IT Business?,https://www.thestreet.com/story/13321505/1/which-defense-contractor-will-buy-lockheed-martin-s-government-it-business.html?puc=yahoo&cm_ven=YAHOO,en,False,,21619,The Street,http://www.thestreet.com
193625,339005932,2015-04-25 18:15:07,FCC Adopts Net Neutrality Rules to Prohibit Paid Fast Lanes,http://www.thestreet.com/story/13058719/1/who-will-win-who-will-lose-under-fccs-net-neutrality-rules.html,en,False,,21619,The Street,http://www.thestreet.com
195784,907042011,2015-04-10 10:03:00,MTV Lost Its Mojo With Millennials and Here's Why It Happened,https://www.thestreet.com/story/13105053/1/mtv-lost-its-mojo-with-millennials-and-heres-why-it-happened.html,en,False,,21619,The Street,http://www.thestreet.com
196049,908870661,2015-05-18 15:19:14,"Bitcoin Is Drawing Interest From Nasdaq and NYSE, but Are Investors Ready?",https://www.thestreet.com/story/13152691/1/bitcoin-is-drawing-interest-from-nasdaq-and-nyse-but-are-investors-ready.html,en,False,,21619,The Street,http://www.thestreet.com
196187,910104080,2015-11-07 14:40:00,Baidu Jumps Into China's Fast-Growing Online-to-Offline Market,https://www.thestreet.com/story/13355162/1/baidu-jumps-into-china-s-fast-growing-online-to-offline-market.html,en,False,,21619,The Street,http://www.thestreet.com
198186,821192144,2015-07-24 13:38:55,What Are FANG Stocks and Why Does Jim Cramer Love Them?,https://www.thestreet.com/story/13230576/1/what-are-fang-stocks-and-why-does-jim-cramer-love-them.html,en,False,,21619,The Street,http://www.thestreet.com
198615,697306345,2015-09-17 09:13:54,The Fed’s Problem? It’s Too Transparent,https://www.thestreet.com/story/13291743/1/the-feds-problem-its-too-transparent.html,en,False,,21619,The Street,http://www.thestreet.com
198633,541511811,2015-05-08 17:30:00,Declines at For-Profit Colleges Take a Big Toll on Their Stocks,https://www.thestreet.com/story/13144238/1/decline-in-for-profit-colleges-takes-a-big-toll-on-their-stocks.html,en,False,,21619,The Street,http://www.thestreet.com
198636,943913828,2015-10-02 16:09:05,Amicus Therapeutics (FOLD) Stock Drops as FDA Requests More Data on Drug Candidate,https://www.thestreet.com/story/13310790/1/amicus-therapeutics-fold-stock-drops-as-fda-requests-more-data-on-drug-candidate.html,en,False,,21619,The Street,http://www.thestreet.com
198645,844353754,2015-01-29 13:29:59,Is Civil Forfeiture Legalized Theft? Are Police Profiting from It?,https://www.thestreet.com/story/13025967/1/is-civil-forfeiture-legalized-theft-are-police-profiting-from-it.html,en,False,,21619,The Street,http://www.thestreet.com
198658,732267160,2015-09-01 17:44:33,Owner of Trump-Branded Golf Course Can Swing Away in Auction Process,https://www.thestreet.com/story/13273762/1/owner-of-trump-branded-golf-course-can-swing-away-in-auction-process.html,en,False,,21619,The Street,http://www.thestreet.com
